bad_user_id, l2_topk_bad, l2_topk_good, unlabelled_l2_topk,l2_lastk_bad, l2_lastk_good, unlabelled_l2_lastk,cosine_topk_bad, cosine_topk_good, unlabelled_cosine_topk,cosine_lastk_bad, cosine_lastk_good,unlabelled_cosine_lastk 
11,1,0,1,0,1,1,0,1,1,0,1,1
15,1,0,1,0,0,2,0,0,2,0,1,1
90,1,1,0,0,1,1,0,0,2,0,0,2
95,1,0,1,0,1,1,0,0,2,0,1,1
177,1,0,1,0,1,1,0,2,0,0,1,1
197,1,1,0,0,0,2,0,0,2,0,1,1
211,1,1,0,0,1,1,0,0,2,0,0,2
255,1,1,0,0,0,2,0,1,1,0,0,2
257,1,1,0,0,0,2,0,0,2,0,1,1
272,1,1,0,0,0,2,0,2,0,0,0,2
338,1,1,0,0,0,2,0,0,2,0,1,1
384,1,1,0,0,0,2,0,1,1,0,0,2
416,1,1,0,0,0,2,0,0,2,0,1,1
759,1,1,0,0,0,2,0,0,2,0,1,1
946,1,1,0,0,0,2,0,0,2,0,1,1
1760,1,1,0,0,0,2,0,1,1,0,0,2
2336,1,1,0,0,0,2,0,1,1,0,0,2
2408,1,1,0,0,0,2,0,0,2,0,0,2
3133,1,1,0,0,0,2,0,0,2,0,0,2
3254,1,1,0,0,0,2,0,0,2,0,1,1
3516,1,1,0,0,0,2,0,0,2,0,0,2
3774,1,1,0,0,0,2,0,1,1,0,1,1
7371,1,1,0,0,0,2,0,0,2,0,0,2
7380,1,1,0,1,0,1,0,0,2,0,1,1
7398,1,1,0,0,0,2,0,1,1,0,1,1
7406,1,1,0,0,0,2,0,1,1,0,1,1
7408,1,1,0,0,0,2,1,0,1,0,0,2
7412,1,1,0,0,0,2,0,0,2,0,0,2
7417,1,1,0,1,0,1,1,0,1,0,0,2
7423,1,1,0,0,0,2,0,0,2,0,0,2
7426,1,1,0,0,0,2,0,0,2,1,0,1
7433,1,1,0,0,0,2,0,0,2,0,0,2
7435,1,1,0,0,0,2,0,0,2,0,1,1
7442,1,1,0,0,1,1,0,0,2,0,1,1
7447,1,1,0,0,0,2,0,0,2,0,1,1
7448,1,1,0,0,0,2,1,0,1,0,0,2
7457,1,1,0,0,0,2,0,0,2,1,0,1
7459,1,1,0,0,0,2,1,0,1,0,0,2
7470,1,1,0,0,0,2,1,0,1,0,0,2
7471,1,1,0,0,0,2,1,0,1,0,0,2
7472,1,1,0,0,0,2,1,0,1,0,0,2
7474,1,1,0,0,0,2,1,0,1,0,0,2
7475,1,1,0,0,0,2,1,0,1,0,0,2
7477,1,1,0,0,0,2,1,0,1,0,0,2
7479,1,1,0,0,0,2,0,0,2,0,0,2
7480,1,1,0,0,0,2,1,0,1,0,0,2
7483,1,1,0,1,0,1,1,0,1,0,0,2
7484,1,1,0,0,0,2,1,0,1,0,0,2
7485,1,1,0,0,0,2,1,0,1,0,0,2
7501,1,1,0,0,0,2,1,0,1,1,0,1
7503,1,1,0,0,0,2,0,0,2,0,1,1
7504,1,1,0,0,0,2,0,0,2,0,1,1
7505,1,1,0,0,0,2,1,0,1,0,0,2
7506,1,1,0,1,0,1,1,0,1,0,1,1
7507,1,1,0,0,0,2,0,0,2,0,1,1
7510,1,1,0,0,0,2,0,0,2,0,1,1
7513,1,1,0,0,0,2,0,0,2,0,0,2
7514,1,1,0,0,0,2,0,0,2,0,0,2
7516,1,1,0,0,0,2,0,0,2,0,1,1
7521,1,1,0,0,0,2,0,0,2,0,1,1
7522,1,1,0,1,0,1,2,0,0,0,1,1
7523,1,1,0,1,0,1,2,0,0,0,1,1
7528,1,1,0,0,1,1,0,1,1,1,0,1
7532,1,1,0,1,0,1,2,0,0,0,1,1
7535,1,1,0,1,0,1,1,0,1,0,1,1
7540,1,1,0,1,0,1,0,0,2,1,0,1
7542,1,1,0,0,0,2,1,0,1,0,0,2
7543,1,1,0,0,0,2,1,0,1,0,0,2
7544,1,1,0,0,0,2,0,0,2,0,0,2
7550,1,1,0,0,0,2,0,1,1,0,0,2
7554,1,1,0,0,0,2,0,0,2,0,0,2
7555,1,1,0,0,0,2,0,0,2,0,0,2
7556,1,1,0,0,0,2,1,0,1,0,0,2
7558,1,1,0,0,0,2,0,0,2,0,0,2
7559,1,1,0,0,0,2,1,0,1,0,0,2
7563,1,1,0,0,0,2,0,0,2,0,1,1
7564,1,1,0,0,0,2,0,2,0,0,1,1
7566,1,1,0,0,0,2,0,0,2,0,1,1
7567,1,1,0,0,0,2,1,0,1,0,0,2
7568,1,1,0,0,0,2,0,0,2,0,1,1
7574,1,1,0,0,0,2,1,0,1,0,0,2
7575,1,1,0,1,0,1,0,0,2,0,0,2
7578,1,1,0,0,0,2,1,0,1,0,1,1
7583,1,1,0,0,0,2,0,0,2,0,1,1
7584,1,1,0,0,0,2,0,0,2,0,1,1
7585,1,1,0,1,0,1,0,0,2,0,0,2
7586,1,1,0,0,0,2,0,0,2,0,0,2
7587,1,1,0,0,0,2,0,0,2,0,1,1
7588,1,1,0,0,0,2,0,1,1,0,0,2
7590,1,1,0,0,0,2,1,0,1,0,1,1
7591,1,1,0,0,0,2,0,0,2,0,1,1
7594,1,1,0,0,0,2,1,0,1,0,0,2
7595,1,1,0,0,0,2,0,0,2,0,0,2
7596,1,1,0,0,0,2,0,0,2,0,0,2
7597,1,1,0,0,0,2,0,0,2,0,0,2
7598,1,1,0,0,0,2,0,0,2,0,0,2
7599,1,1,0,0,0,2,0,1,1,0,0,2
7600,1,1,0,0,0,2,0,0,2,0,0,2
7601,1,1,0,0,0,2,0,0,2,0,0,2
7602,1,1,0,0,0,2,0,0,2,0,0,2
7603,1,1,0,0,0,2,0,0,2,1,0,1
7604,1,1,0,0,1,1,0,0,2,0,1,1
